backbone,comparison,metric,primary,win,tie,loss,mean_rel_improvement_%,min_holm_p
DN_NSGAII,DN_NSGAII_INSORT vs DN_NSGAII_base,IGDX,True,0,0,8,-806.1990375182363,1.4901161193847656e-08
DN_NSGAII,DN_NSGAII_INSORT vs DN_NSGAII_base,PSP,True,0,0,8,-95.04069810234675,1.4901161193847656e-08
DN_NSGAII,DN_NSGAII_INSORT vs DN_NSGAII_base,IGD,False,0,0,8,-18321.238838527002,1.4901161193847656e-08
DN_NSGAII,DN_NSGAII_INSORT vs DN_NSGAII_base,HV,False,0,0,8,-64.09353393834418,1.4901161193847656e-08
Omni,Omni_INSORT vs Omni_base,IGDX,True,0,0,8,-779.7588245990794,1.4901161193847656e-08
Omni,Omni_INSORT vs Omni_base,PSP,True,0,0,8,-94.7704244065884,1.4901161193847656e-08
Omni,Omni_INSORT vs Omni_base,IGD,False,0,0,8,-20294.02614762821,1.4901161193847656e-08
Omni,Omni_INSORT vs Omni_base,HV,False,0,0,8,-63.9457216174514,1.4901161193847656e-08
