,EARS_MMOEA,CPDEA,DN_NSGAII,HREA,MMEA_WI,MO_Ring_PSO_SCD,OmniOptimizer
SanFrancisco_p11,2.8266e-01(2.3e-01),*7.6447e-01(1.8e-01) -,3.3598e-01(2.5e-01) =,4.0008e-01(2.6e-01) =,2.6179e-01(2.5e-01) =,2.8485e-01(1.5e-01) =,3.8338e-01(2.2e-01) =
SanFrancisco_p22,1.8696e-01(1.8e-01),*5.9611e-01(2.9e-01) -,1.9608e-01(1.9e-01) =,1.8735e-01(1.9e-01) =,1.8359e-01(1.8e-01) =,6.6483e-02(4.8e-02) +,2.2951e-01(2.1e-01) =
SanFrancisco_p33,4.0379e-01(1.8e-01),*8.4137e-01(2.1e-01) -,2.2720e-01(2.2e-01) +,2.9134e-01(1.9e-01) =,2.4760e-01(1.9e-01) +,4.2587e-01(1.6e-01) =,2.2397e-01(1.9e-01) +
